"Playoff.Wins","FGA","FG_perc","X3PA","X3P_perc","FTA","FT_perc","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","O_FGA","O_FG_perc","O_3PA","O_3P_perc","O_2P","O_FTA","O_FT_perc","O_ORB","O_DRB","O_AST","O_STL","O_BLK","O_TOV","O_PF","O_PTS","W","MOV","SOS","SRS","ORtg","DRtg","Pace","FTr","X3PAr","eFG_perc","TOV_perc","ORB_perc","FT.FGA","eFG_perc_1","TOV_perc_2","DRB_perc","FT.FGA_3","Attendance"
4,25,11,7,16,9,28,20,21,23,23,14,20,7,5,19,16,11,16,7,13,6,14,23,14,13,7,9,19,17,10,12,12,12,10,10,12,24,9,6,9,6,19,13,11,14,24,5,20
3,5,15,23,6,14,7,7,15,10,13,9,4,20,18,8,27,14,7,4,25,19,27,28,15,14,18,28,13,14,21,15,16,14,16,15,18,10,17,24,21,18,6,12,9,15,28,18,2
3,15,16,9,22,24,23,26,22,28,18,5,5,3,16,18,8,13,18,28,6,20,18,17,21,10,6,5,6,26,12,14,14,7,14,20,11,22,24,8,16,3,24,26,16,4,19,21,15
2,20,10,29,30,6,25,2,29,17,24,4,12,15,6,22,11,18,23,17,9,5,25,21,3,25,11,16,3,9,11,15,15,15,15,19,14,21,4,29,24,19,2,4,19,3,25,9,23
2,23,8,12,4,16,17,1,27,12,19,25,13,8,12,14,2,17,5,18,9,4,30,2,1,5,3,3,24,12,4,5,5,28,5,1,13,30,14,12,8,8,1,17,14,12,6,13,3
1,27,14,14,17,29,3,28,16,26,28,15,26,4,11,26,3,7,24,8,2,7,19,4,13,11,2,1,23,19,5,10,13,20,13,12,9,28,22,11,14,9,25,18,12,13,7,16,19
1,19,7,10,3,30,19,30,4,18,12,30,27,1,1,23,15,9,1,24,18,1,13,1,24,1,8,8,30,30,2,5,7,29,7,13,5,26,30,7,5,2,30,30,7,30,1,1,14
1,16,3,26,26,3,13,11,19,19,1,1,21,22,23,7,12,20,14,12,15,25,11,18,8,9,27,21,2,1,18,11,9,27,9,8,10,9,2,27,11,22,5,2,18,2,20,26,6
0,17,20,28,26,27,24,10,17,16,16,29,19,2,19,28,6,8,2,9,11,17,20,8,12,12,1,7,29,27,8,17,17,13,17,21,16,29,23,28,26,1,7,27,6,29,12,20,1
16,7,18,10,24,17,12,4,4,2,15,11,16,6,4,12,23,5,25,1,13,2,7,17,20,21,10,9,18,12,9,3,6,13,5,11,4,14,19,12,15,5,7,18,6,19,9,2,7
15,30,4,16,17,10,21,30,25,29,2,2,15,21,22,19,4,9,5,4,5,25,5,9,8,6,13,15,2,8,5,9,9,27,10,15,5,22,7,11,5,27,28,6,9,2,13,25,9
10,27,7,1,3,7,29,25,1,5,25,27,5,14,7,6,16,1,11,23,8,3,10,3,14,2,6,1,27,4,4,2,1,30,1,4,3,18,4,1,2,18,25,7,1,26,1,4,17
10,13,1,6,1,9,11,15,7,6,4,29,12,20,18,1,30,11,24,17,22,21,17,29,6,14,27,11,25,7,26,5,5,25,6,1,23,4,11,5,1,17,10,10,11,30,29,16,16
